tablescraper-selected-row,text-left,text-left 2,text-right,text-right 2,text-right 3,text-right 4,text-right 5
1,2025090801016938,NMIC,38,32,10,"1,191.00","11,910.00"
2,2025090804016173,BPCL,48,22,15,798.00,"11,970.00"
3,2025090801016937,SAMAJ,62,49,120,"2,800.00","336,000.00"
4,2025090805017979,MKJC,60,70,200,596.50,"119,300.00"
5,2025090805017978,SONA,64,42,68,441.00,"29,988.00"
6,2025090805017977,SONA,7,42,20,441.10,"8,822.00"
7,2025090805017976,SONA,54,42,10,441.10,"4,411.00"
8,2025090801016936,HBL,13,8,10,200.60,"2,006.00"
9,2025090805017975,PHCL,36,41,10,389.00,"3,890.00"
10,2025090801016935,CZBIL,25,34,10,205.00,"2,050.00"
11,2025090804016172,HURJA,43,33,173,221.10,"38,250.30"
12,2025090804016171,HURJA,1,33,500,221.50,"110,750.00"
13,2025090804016170,HURJA,57,33,230,221.50,"50,945.00"
14,2025090804016169,HURJA,55,33,222,221.50,"49,173.00"
15,2025090804016168,HURJA,74,33,200,221.70,"44,340.00"
16,2025090804016167,HURJA,53,33,178,221.80,"39,480.40"
17,2025090803008614,LBBL,8,91,100,521.30,"52,130.00"
18,2025090803008613,LBBL,16,91,300,522.00,"156,600.00"
19,2025090803008612,LBBL,60,91,100,522.00,"52,200.00"
20,2025090803008611,GMFIL,88,71,250,465.00,"116,250.00"
21,2025090803008610,GMFIL,88,45,50,464.00,"23,200.00"
22,2025090803008609,ILBS,63,45,100,"1,200.00","120,000.00"
23,2025090805017974,MHL,13,45,90,476.30,"42,867.00"
24,2025090805017973,MHL,52,45,10,476.40,"4,764.00"
25,2025090805017972,MMKJL,62,18,10,575.00,"5,750.00"
26,2025090805017971,MMKJL,62,34,10,575.00,"5,750.00"
27,2025090805017970,MMKJL,62,49,10,575.00,"5,750.00"
28,2025090805017969,MMKJL,62,52,40,575.00,"23,000.00"
29,2025090805017968,MMKJL,62,57,10,574.00,"5,740.00"
30,2025090805017967,MMKJL,62,70,60,570.00,"34,200.00"
31,2025090805017966,MMKJL,62,58,10,570.00,"5,700.00"
32,2025090805017965,TPC,37,57,53,327.10,"17,336.30"
33,2025090801016934,SCB,57,13,180,632.90,"113,922.00"
34,2025090805017964,MSHL,4,70,24,900.10,"21,602.40"
35,2025090805017963,MSHL,36,70,36,900.20,"32,407.20"
36,2025090804016166,SPDL,48,62,100,403.80,"40,380.00"
37,2025090801016933,SANIMA,49,58,275,365.00,"100,375.00"
38,2025090803008608,KSBBL,68,49,24,521.30,"12,511.20"
39,2025090803008607,KSBBL,42,49,26,523.20,"13,603.20"
40,2025090805017962,NRIC,29,40,37,"1,634.90","60,491.30"
41,2025090805017961,NRIC,29,51,10,"1,634.80","16,348.00"
42,2025090805017960,NRIC,29,58,53,"1,633.00","86,549.00"
43,2025090805017959,HRL,49,94,460,974.00,"448,040.00"
44,2025090805017958,HRL,25,94,200,975.00,"195,000.00"
45,2025090805017957,DORDI,59,32,19,238.00,"4,522.00"
46,2025090804016165,UMHL,39,62,10,576.80,"5,768.00"
47,2025090803008606,NABBC,71,70,10,691.00,"6,910.00"
48,2025090803008605,NABBC,71,50,10,690.90,"6,909.00"
49,2025090803008604,NABBC,71,22,50,690.00,"34,500.00"
50,2025090803008603,CFCL,35,45,10,486.00,"4,860.00"
51,2025090805017956,NRIC,48,50,20,"1,631.00","32,620.00"
52,2025090803008602,GBBL,66,14,95,429.40,"40,793.00"
53,2025090803008601,GBBL,66,32,100,429.00,"42,900.00"
54,2025090803008600,GBBL,66,47,100,425.00,"42,500.00"
55,2025090803008599,GBBL,66,62,620,425.00,"263,500.00"
56,2025090803008598,GBBL,66,101,85,425.00,"36,125.00"
57,2025090801016932,SCB,42,34,21,632.00,"13,272.00"
58,2025090805017955,MBJC,32,62,10,301.20,"3,012.00"
59,2025090803008597,SFCL,36,32,105,430.00,"45,150.00"
60,2025090803008596,SFCL,25,32,300,430.00,"129,000.00"
61,2025090803008595,SFCL,47,32,80,430.00,"34,400.00"
62,2025090803008594,SFCL,49,32,15,431.00,"6,465.00"
63,2025090804016164,UPPER,45,36,300,183.30,"54,990.00"
64,2025090801016931,BHCL,48,41,10,456.00,"4,560.00"
65,2025090801016930,BHCL,48,58,10,456.00,"4,560.00"
66,2025090801016929,BHCL,48,35,74,456.00,"33,744.00"
67,2025090803008593,CORBL,29,40,54,"1,825.00","98,550.00"
68,2025090803008592,CORBL,29,41,10,"1,810.00","18,100.00"
69,2025090803008591,CORBL,29,59,10,"1,810.00","18,100.00"
70,2025090803008590,CORBL,29,59,50,"1,807.00","90,350.00"
71,2025090803008589,CORBL,29,42,100,"1,800.00","180,000.00"
72,2025090803008588,CORBL,29,60,76,"1,796.00","136,496.00"
73,2025090803008587,MLBBL,58,41,10,"1,469.00","14,690.00"
74,2025090803008586,PMLI,59,49,3,488.00,"1,464.00"
75,2025090805017954,RFPL,29,4,10,345.30,"3,453.00"
76,2025090803008585,CBBL,32,36,10,"1,010.00","10,100.00"
77,2025090804016163,UPCL,42,50,900,413.00,"371,700.00"
78,2025090804016162,UPCL,58,50,41,413.00,"16,933.00"
79,2025090803008584,SHINE,7,89,10,417.00,"4,170.00"
80,2025090801016928,PCBL,34,59,495,248.90,"123,205.50"
81,2025090805017953,HRL,49,33,"2,372",974.00,"2,310,328.00"
82,2025090805017952,HRL,34,33,100,974.10,"97,410.00"
83,2025090805017951,HRL,33,33,443,974.10,"431,526.30"
84,2025090805017950,HRL,45,33,855,974.10,"832,855.50"
85,2025090805017949,HRL,39,33,10,974.20,"9,742.00"
86,2025090805017948,HRL,44,33,"1,000",974.40,"974,400.00"
87,2025090805017947,HRL,57,33,200,975.00,"195,000.00"
88,2025090805017946,HRL,36,33,20,975.00,"19,500.00"
89,2025090805017945,HHL,42,58,43,344.00,"14,792.00"
90,2025090805017944,HHL,42,58,30,344.00,"10,320.00"
91,2025090805017943,HHL,58,58,42,344.10,"14,452.20"
92,2025090805017942,CLI,62,39,100,455.00,"45,500.00"
93,2025090804016161,UMHL,62,55,500,576.70,"288,350.00"
94,2025090804016160,UMHL,62,55,100,576.00,"57,600.00"
95,2025090804016159,UMHL,62,45,10,575.00,"5,750.00"
96,2025090805017941,SONA,64,11,500,441.00,"220,500.00"
97,2025090805017940,SANVI,38,14,60,599.00,"35,940.00"
98,2025090805017939,SANVI,58,14,50,599.00,"29,950.00"
99,2025090805017938,SANVI,34,14,100,599.00,"59,900.00"
100,2025090805017937,NTC,58,42,18,825.00,"14,850.00"
101,2025090805017936,NTC,22,42,30,825.00,"24,750.00"
102,2025090805017935,NTC,59,42,100,825.00,"82,500.00"
103,2025090805017934,NTC,42,42,100,825.00,"82,500.00"
104,2025090805017933,NTC,6,42,10,825.00,"8,250.00"
105,2025090805017932,NTC,6,42,10,825.00,"8,250.00"
106,2025090803008583,MFIL,41,49,35,669.00,"23,415.00"
107,2025090805017931,AHL,34,57,10,605.00,"6,050.00"
108,2025090804016158,NGPL,13,39,100,398.90,"39,890.00"
109,2025090803008582,RLFL,88,80,10,446.50,"4,465.00"
110,2025090803008581,RLFL,45,80,50,446.50,"22,325.00"
111,2025090801016927,HBL,13,58,10,200.60,"2,006.00"
112,2025090805017930,MHL,13,44,38,476.40,"18,103.20"
113,2025090805017929,MHL,21,44,300,476.50,"142,950.00"
114,2025090805017928,MHL,4,44,30,477.00,"14,310.00"
115,2025090805017927,MHL,52,44,10,477.00,"4,770.00"
116,2025090805017926,MHL,56,44,53,477.00,"25,281.00"
117,2025090804016157,PPCL,44,17,98,313.60,"30,732.80"
118,2025090804016156,PPCL,59,17,102,313.60,"31,987.20"
119,2025090804016155,PPCL,19,17,100,313.70,"31,370.00"
120,2025090803008580,ALBSL,38,16,10,"1,038.00","10,380.00"
121,2025090804016154,UPCL,56,5,39,413.70,"16,134.30"
122,2025090804016153,UPCL,56,67,11,413.70,"4,550.70"
123,2025090804016152,NLG,26,35,40,785.00,"31,400.00"
124,2025090801016926,OMPL,48,3,10,"1,187.00","11,870.00"
125,2025090801016925,OMPL,50,3,90,"1,187.10","106,839.00"
126,2025090805017925,BHPL,32,43,20,671.00,"13,420.00"
127,2025090805017924,BHPL,32,13,70,670.00,"46,900.00"
128,2025090805017923,BHL,32,66,150,184.20,"27,630.00"
129,2025090804016151,SGIC,69,57,10,545.00,"5,450.00"
130,2025090805017922,NRIC,48,14,100,"1,631.00","163,100.00"
131,2025090803008579,JFL,13,16,30,445.00,"13,350.00"
132,2025090801016924,PRVU,54,58,150,205.90,"30,885.00"
133,2025090801016923,SARBTM,42,56,10,890.00,"8,900.00"
134,2025090801016922,GBIME,42,52,66,246.00,"16,236.00"
135,2025090804016150,UNHPL,33,42,395,462.00,"182,490.00"
136,2025090801016921,NABIL,17,38,102,515.00,"52,530.00"
137,2025090801016920,NABIL,17,11,500,515.00,"257,500.00"
138,2025090801016919,NABIL,17,7,20,515.00,"10,300.00"
139,2025090801016918,NABIL,17,34,50,515.00,"25,750.00"
140,2025090801016917,NABIL,17,33,200,515.00,"103,000.00"
141,2025090801016916,NABIL,17,7,100,515.00,"51,500.00"
142,2025090801016915,NABIL,17,7,50,515.00,"25,750.00"
143,2025090801016914,NABIL,17,25,"1,000",515.00,"515,000.00"
144,2025090801016913,NABIL,17,58,16,515.00,"8,240.00"
145,2025090801016912,NABIL,17,58,20,515.00,"10,300.00"
146,2025090801016911,NABIL,17,3,21,515.00,"10,815.00"
147,2025090801016910,NABIL,17,8,217,515.00,"111,755.00"
148,2025090801016909,NABIL,17,41,10,515.00,"5,150.00"
149,2025090803008578,MSLB,17,67,100,"1,494.50","149,450.00"
150,2025090803008577,MSLB,17,14,10,"1,464.70","14,647.00"
151,2025090803008576,MSLB,17,55,10,"1,464.70","14,647.00"
152,2025090803008575,MSLB,17,55,10,"1,464.70","14,647.00"
153,2025090804016149,PMHPL,34,26,100,345.60,"34,560.00"
154,2025090805017921,SONA,64,38,100,441.00,"44,100.00"
155,2025090805017920,GCIL,13,21,25,476.00,"11,900.00"
156,2025090805017919,GCIL,52,21,75,476.00,"35,700.00"
157,2025090805017918,GCIL,58,21,100,476.10,"47,610.00"
158,2025090805017917,SAHAS,75,14,108,622.00,"67,176.00"
159,2025090804016148,HDHPC,34,50,58,181.00,"10,498.00"
160,2025090804016147,HDHPC,34,32,142,181.00,"25,702.00"
161,2025090801016908,NESDO,53,34,80,"1,485.00","118,800.00"
162,2025090801016907,NESDO,28,34,50,"1,485.10","74,255.00"
163,2025090801016906,NESDO,39,34,10,"1,486.00","14,860.00"
164,2025090801016905,NESDO,1,34,60,"1,486.00","89,160.00"
165,2025090805017916,SHIVM,26,45,400,578.00,"231,200.00"
166,2025090805017915,NRN,81,45,90,"2,022.20","181,998.00"
167,2025090805017914,NRN,48,45,10,"2,030.00","20,300.00"
168,2025090804016146,RADHI,57,21,100,753.00,"75,300.00"
169,2025090801016904,MKCL,57,57,8,"1,499.00","11,992.00"
170,2025090805017913,SMATA,48,34,10,942.00,"9,420.00"
171,2025090801016903,NMB,32,49,97,246.00,"23,862.00"
172,2025090804016145,UMRH,28,101,"1,913",575.00,"1,099,975.00"
173,2025090804016144,UMRH,33,101,87,579.00,"50,373.00"
174,2025090804016143,SPDL,58,22,200,403.90,"80,780.00"
175,2025090805017912,MCHL,4,42,300,469.00,"140,700.00"
176,2025090801016902,BHCL,38,35,10,456.00,"4,560.00"
177,2025090805017911,SONA,41,90,50,441.30,"22,065.00"
178,2025090805017910,SONA,41,42,46,441.10,"20,290.60"
179,2025090805017909,BHPL,19,13,10,670.00,"6,700.00"
180,2025090805017908,BHPL,35,13,20,670.00,"13,400.00"
181,2025090805017907,MEL,57,35,15,284.70,"4,270.50"
182,2025090805017906,MEL,57,58,10,284.00,"2,840.00"
183,2025090805017905,MEL,57,41,45,283.00,"12,735.00"
184,2025090805017904,MEL,57,51,10,283.00,"2,830.00"
185,2025090805017903,MEL,57,58,10,281.00,"2,810.00"
186,2025090805017902,MEL,57,42,10,280.50,"2,805.00"
187,2025090805017901,USHEC,6,29,207,475.00,"98,325.00"
188,2025090805017900,USHEC,6,50,20,475.00,"9,500.00"
189,2025090805017899,USHEC,6,22,10,475.00,"4,750.00"
190,2025090805017898,USHEC,6,8,250,474.00,"118,500.00"
191,2025090805017897,USHEC,6,4,13,473.80,"6,159.40"
192,2025090801016901,HBL,13,58,10,200.60,"2,006.00"
193,2025090803008574,SAPDBL,21,58,"1,984",776.00,"1,539,584.00"
194,2025090803008573,SAPDBL,20,58,16,777.00,"12,432.00"
195,2025090805017896,GVL,35,17,100,526.00,"52,600.00"
196,2025090804016142,GHL,38,10,700,216.80,"151,760.00"
197,2025090801016900,OMPL,56,45,30,"1,187.90","35,637.00"
198,2025090805017895,MSHL,52,19,10,903.50,"9,035.00"
199,2025090804016141,API,28,32,53,287.00,"15,211.00"
200,2025090804016140,API,11,32,547,288.00,"157,536.00"
201,2025090803008572,LBBL,60,22,100,522.00,"52,200.00"
202,2025090804016139,API,11,47,400,288.00,"115,200.00"
203,2025090804016138,API,11,53,30,288.00,"8,640.00"
204,2025090804016137,API,11,48,100,288.00,"28,800.00"
205,2025090804016136,API,11,37,200,288.00,"57,600.00"
206,2025090804016135,API,11,38,123,288.00,"35,424.00"
207,2025090804016134,API,11,16,100,287.50,"28,750.00"
208,2025090801016899,NESDO,58,32,10,"1,489.00","14,890.00"
209,2025090804016133,NHPC,16,45,256,199.00,"50,944.00"
210,2025090804016132,NHPC,16,89,300,199.00,"59,700.00"
211,2025090804016131,NHPC,16,22,414,198.90,"82,344.60"
212,2025090804016130,NHPC,16,49,10,198.80,"1,988.00"
213,2025090804016129,NHPC,16,19,20,198.80,"3,976.00"
214,2025090801016898,PURE,45,51,10,775.00,"7,750.00"
215,2025090804016128,CGH,14,1,100,989.00,"98,900.00"
216,2025090805017894,HRL,34,26,20,976.00,"19,520.00"
217,2025090805017893,HRL,34,44,10,976.00,"9,760.00"
218,2025090803008571,LBBL,60,77,300,522.00,"156,600.00"
219,2025090805017892,NICSF,33,51,"4,400",8.90,"39,160.00"
220,2025090805017891,NICSF,33,13,100,8.90,890.00
221,2025090801016897,HBL,13,22,10,200.60,"2,006.00"
222,2025090804016127,RADHI,39,22,60,752.00,"45,120.00"
223,2025090801016896,JBLB,45,58,296,"1,418.00","419,728.00"
224,2025090805017890,NIFRA,80,45,250,269.80,"67,450.00"
225,2025090805017889,NTC,6,57,40,825.00,"33,000.00"
226,2025090804016126,UNHPL,33,19,200,462.00,"92,400.00"
227,2025090801016895,KBL,49,49,"1,260",194.30,"244,818.00"
228,2025090801016894,KBL,51,49,48,194.30,"9,326.40"
229,2025090801016893,KBL,38,49,20,194.40,"3,888.00"
230,2025090801016892,KBL,34,49,40,194.50,"7,780.00"
231,2025090804016125,SPDL,63,22,470,403.90,"189,833.00"
232,2025090804016124,SPDL,63,43,30,403.80,"12,114.00"
233,2025090803008570,JBBL,34,8,685,325.50,"222,967.50"
234,2025090803008569,JBBL,41,8,85,326.00,"27,710.00"
235,2025090803008568,JBBL,48,8,30,326.00,"9,780.00"
236,2025090804016123,GHL,16,45,400,216.90,"86,760.00"
237,2025090804016122,GHL,16,29,33,216.90,"7,157.70"
238,2025090804016121,HDHPC,42,32,358,181.00,"64,798.00"
239,2025090804016120,HDHPC,42,42,100,180.90,"18,090.00"
240,2025090804016119,HDHPC,42,44,22,180.80,"3,977.60"
241,2025090804016118,HDHPC,42,56,20,180.60,"3,612.00"
242,2025090803008567,NICLBSL,7,42,10,572.00,"5,720.00"
243,2025090805017888,HDL,99,71,150,"1,375.00","206,250.00"
244,2025090801016891,MKCL,38,42,20,"1,494.00","29,880.00"
245,2025090804016117,JOSHI,38,58,160,278.00,"44,480.00"
246,2025090804016116,JOSHI,38,45,15,277.30,"4,159.50"
247,2025090804016115,LEC,34,58,40,211.00,"8,440.00"
248,2025090804016114,SHEL,41,38,200,302.50,"60,500.00"
249,2025090803008566,SINDU,11,22,210,688.00,"144,480.00"
250,2025090804016113,NHPC,5,53,20,198.20,"3,964.00"
251,2025090804016112,UNHPL,33,45,460,462.00,"212,520.00"
252,2025090804016111,UNHPL,58,45,40,462.10,"18,484.00"
253,2025090804016110,CGH,48,43,340,989.90,"336,566.00"
254,2025090804016109,CGH,48,58,10,989.90,"9,899.00"
255,2025090804016108,CGH,48,42,40,989.50,"39,580.00"
256,2025090804016107,CGH,48,7,10,989.40,"9,894.00"
257,2025090801016890,NWCL,45,48,190,842.00,"159,980.00"
258,2025090801016889,NWCL,56,48,20,842.10,"16,842.00"
259,2025090801016888,NWCL,71,48,200,842.10,"168,420.00"
260,2025090801016887,NWCL,39,48,50,842.20,"42,110.00"
261,2025090801016886,NWCL,56,48,20,842.20,"16,844.00"
262,2025090801016885,NWCL,56,48,10,842.50,"8,425.00"
263,2025090801016884,NWCL,4,48,18,843.00,"15,174.00"
264,2025090805017887,HDL,99,57,300,"1,375.00","412,500.00"
265,2025090804016106,UPCL,74,67,58,413.70,"23,994.60"
266,2025090804016105,UPCL,74,57,"1,000",413.60,"413,600.00"
267,2025090804016104,UPCL,74,52,500,413.50,"206,750.00"
268,2025090804016103,UPCL,74,17,50,413.50,"20,675.00"
269,2025090804016102,UPCL,74,38,500,413.50,"206,750.00"
270,2025090804016101,UPCL,74,1,217,413.50,"89,729.50"
271,2025090804016100,UPCL,74,51,100,413.50,"41,350.00"
272,2025090804016099,UPCL,74,52,125,413.40,"51,675.00"
273,2025090804016098,UPCL,74,42,50,413.30,"20,665.00"
274,2025090804016097,KKHC,42,45,6,227.00,"1,362.00"
275,2025090804016096,KKHC,42,50,20,227.00,"4,540.00"
276,2025090805017886,BHL,17,26,96,184.20,"17,683.20"
277,2025090801016883,SANIMA,38,58,13,365.00,"4,745.00"
278,2025090804016095,HEI,35,57,48,582.00,"27,936.00"
279,2025090804016094,HEI,35,80,32,581.00,"18,592.00"
280,2025090805017885,NRIC,48,60,200,"1,631.00","326,200.00"
281,2025090801016882,MKCL,44,33,10,"1,493.00","14,930.00"
282,2025090801016881,MKCL,44,33,20,"1,493.00","29,860.00"
283,2025090801016880,MKCL,14,33,34,"1,493.10","50,765.40"
284,2025090805017884,HATHY,46,64,10,"1,008.00","10,080.00"
285,2025090804016093,GLH,8,43,84,250.50,"21,042.00"
286,2025090804016092,GLH,14,43,500,250.50,"125,250.00"
287,2025090804016091,GLH,58,43,70,250.60,"17,542.00"
288,2025090804016090,GLH,14,43,246,250.60,"61,647.60"
289,2025090803008565,CORBL,43,60,10,"1,796.00","17,960.00"
290,2025090805017883,SAHAS,75,41,90,622.00,"55,980.00"
291,2025090805017882,SAHAS,75,58,74,622.00,"46,028.00"
292,2025090805017881,SAHAS,75,16,10,622.00,"6,220.00"
293,2025090805017880,SAHAS,75,58,10,622.00,"6,220.00"
294,2025090805017879,SAHAS,75,29,10,622.00,"6,220.00"
295,2025090805017878,SAHAS,75,41,210,621.90,"130,599.00"
296,2025090805017877,NTC,34,3,10,826.00,"8,260.00"
297,2025090805017876,SPC,32,6,150,498.00,"74,700.00"
298,2025090805017875,SPC,45,6,50,498.00,"24,900.00"
299,2025090805017874,SPC,43,6,15,499.00,"7,485.00"
300,2025090803008564,NLICL,58,62,37,580.00,"21,460.00"
301,2025090804016089,NGPL,58,39,"5,505",398.90,"2,195,944.50"
302,2025090804016088,NGPL,58,51,940,398.80,"374,872.00"
303,2025090804016087,NGPL,58,11,100,398.70,"39,870.00"
304,2025090804016086,NGPL,58,51,455,398.60,"181,363.00"
305,2025090801016879,BHCL,58,36,10,455.80,"4,558.00"
306,2025090805017873,BGWT,42,33,100,882.00,"88,200.00"
307,2025090805017872,SHIVM,26,52,151,578.00,"87,278.00"
308,2025090805017871,SHIVM,43,52,"2,000",578.00,"1,156,000.00"
309,2025090805017870,SHIVM,22,52,20,578.00,"11,560.00"
310,2025090805017869,SHIVM,22,52,50,578.00,"28,900.00"
311,2025090805017868,SHIVM,11,52,500,578.10,"289,050.00"
312,2025090805017867,SHIVM,42,52,100,578.10,"57,810.00"
313,2025090805017866,SHIVM,7,52,20,578.10,"11,562.00"
314,2025090805017865,SHIVM,45,52,100,578.10,"57,810.00"
315,2025090805017864,SHIVM,57,52,100,578.60,"57,860.00"
316,2025090805017863,SHIVM,36,52,100,578.60,"57,860.00"
317,2025090805017862,SHIVM,62,52,200,579.00,"115,800.00"
318,2025090805017861,SHIVM,62,52,100,579.00,"57,900.00"
319,2025090805017860,SHIVM,75,52,"1,000",579.00,"579,000.00"
320,2025090805017859,SHIVM,62,52,429,579.00,"248,391.00"
321,2025090805017858,SHIVM,44,52,130,579.00,"75,270.00"
322,2025090804016085,UPCL,58,60,459,413.00,"189,567.00"
323,2025090804016084,UPCL,35,60,"1,000",413.00,"413,000.00"
324,2025090804016083,UPCL,49,60,41,413.00,"16,933.00"
325,2025090805017857,HDL,99,51,200,"1,375.00","275,000.00"
326,2025090805017856,HDL,99,32,10,"1,374.00","13,740.00"
327,2025090805017855,HDL,99,58,350,"1,373.00","480,550.00"
328,2025090805017854,HDL,99,58,139,"1,373.00","190,847.00"
329,2025090805017853,HDL,99,25,20,"1,372.00","27,440.00"
330,2025090805017852,HDL,99,35,32,"1,372.00","43,904.00"
331,2025090805017851,HDL,99,101,412,"1,370.00","564,440.00"
332,2025090805017850,HDL,99,42,60,"1,370.00","82,200.00"
333,2025090805017849,HDL,99,51,440,"1,370.00","602,800.00"
334,2025090805017848,HHL,58,53,58,344.10,"19,957.80"
335,2025090803008563,SADBL,36,49,10,415.50,"4,155.00"
336,2025090803008562,PMLI,59,34,1,488.00,488.00
337,2025090804016082,SPDL,46,58,10,403.40,"4,034.00"
338,2025090804016081,BPCL,48,58,50,798.00,"39,900.00"
339,2025090804016080,GLH,47,42,200,251.00,"50,200.00"
340,2025090804016079,GLH,42,42,90,251.00,"22,590.00"
341,2025090804016078,HDHPC,4,42,"1,105",180.50,"199,452.50"
342,2025090805017847,HRL,45,17,31,974.10,"30,197.10"
343,2025090805017846,HRL,34,17,169,974.20,"164,639.80"
344,2025090801016878,NIMBPO,16,21,398,162.60,"64,714.80"
345,2025090801016877,BHCL,41,35,37,456.00,"16,872.00"
346,2025090804016077,PRIN,60,58,74,758.00,"56,092.00"
347,2025090804016076,PRIN,60,50,90,757.90,"68,211.00"
348,2025090804016075,PRIN,60,50,100,757.70,"75,770.00"
349,2025090804016074,PRIN,60,50,100,757.50,"75,750.00"
350,2025090804016073,PRIN,60,50,136,755.00,"102,680.00"
351,2025090801016876,ADBL,13,56,"1,000",317.90,"317,900.00"
352,2025090803008561,MDB,14,75,11,600.00,"6,600.00"
353,2025090803008560,MDB,14,29,29,598.00,"17,342.00"
354,2025090805017845,SMHL,58,71,580,855.00,"495,900.00"
355,2025090805017844,MAKAR,70,43,25,569.00,"14,225.00"
356,2025090805017843,MAKAR,70,58,40,563.00,"22,520.00"
357,2025090805017842,MAKAR,70,58,30,562.00,"16,860.00"
358,2025090803008559,PMLI,45,21,10,493.00,"4,930.00"
359,2025090801016875,HBL,13,57,10,200.60,"2,006.00"
360,2025090801016874,CZBIL,34,19,"1,000",204.50,"204,500.00"
361,2025090801016873,PRVU,57,58,400,205.90,"82,360.00"
362,2025090801016872,PRVU,57,56,100,205.90,"20,590.00"
363,2025090803008558,SLBSL,54,33,10,"1,432.00","14,320.00"
364,2025090805017841,SONA,64,42,450,441.10,"198,495.00"
365,2025090805017840,SONA,56,42,474,441.20,"209,128.80"
366,2025090805017839,SONA,17,42,50,441.30,"22,065.00"
367,2025090803008557,SADBL,21,14,10,417.20,"4,172.00"
368,2025090803008556,NFS,52,42,114,632.00,"72,048.00"
369,2025090803008555,MLBSL,20,25,70,"2,070.00","144,900.00"
370,2025090805017838,ENL,60,1,10,979.00,"9,790.00"
371,2025090805017837,ENL,60,63,275,964.20,"265,155.00"
372,2025090805017836,SGHC,94,40,45,335.00,"15,075.00"
373,2025090805017835,SGHC,45,40,40,335.00,"13,400.00"
374,2025090805017834,SGHC,36,40,15,335.00,"5,025.00"
375,2025090801016871,AVYAN,40,47,10,990.00,"9,900.00"
376,2025090805017833,TPC,25,57,17,327.20,"5,562.40"
377,2025090805017832,HRL,34,49,331,974.20,"322,460.20"
378,2025090804016072,AHPC,49,49,35,282.10,"9,873.50"
379,2025090804016071,AHPC,43,49,50,282.10,"14,105.00"
380,2025090801016870,AVYAN,33,42,50,985.50,"49,275.00"
381,2025090804016070,PPCL,19,17,900,313.70,"282,330.00"
382,2025090804016069,PPCL,34,17,50,313.80,"15,690.00"
383,2025090804016068,PPCL,44,17,50,313.90,"15,695.00"
384,2025090803008554,GFCL,34,56,100,601.00,"60,100.00"
385,2025090805017831,BNHC,35,22,10,477.90,"4,779.00"
386,2025090805017830,BHL,1,52,270,184.00,"49,680.00"
387,2025090805017829,BHL,39,52,30,184.00,"5,520.00"
388,2025090805017828,BHL,36,26,100,184.20,"18,420.00"
389,2025090803008553,SHINE,44,58,"1,579",416.00,"656,864.00"
390,2025090803008552,SHINE,44,17,50,416.00,"20,800.00"
391,2025090803008551,SHINE,44,89,150,416.00,"62,400.00"
392,2025090803008550,SHINE,44,7,59,416.00,"24,544.00"
393,2025090803008549,SHINE,44,25,100,415.90,"41,590.00"
394,2025090805017827,SGHC,17,13,100,336.00,"33,600.00"
395,2025090805017826,SGHC,17,13,100,336.00,"33,600.00"
396,2025090805017825,SGHC,32,13,100,336.00,"33,600.00"
397,2025090805017824,SGHC,54,13,250,336.10,"84,025.00"
398,2025090805017823,SGHC,25,13,65,336.50,"21,872.50"
399,2025090805017822,SGHC,58,13,40,336.50,"13,460.00"
400,2025090805017821,SGHC,42,13,100,336.60,"33,660.00"
401,2025090804016067,KKHC,14,50,20,227.00,"4,540.00"
402,2025090801016869,HBL,13,22,10,200.60,"2,006.00"
403,2025090805017820,SAHAS,46,41,15,621.90,"9,328.50"
404,2025090803008548,PMLI,42,57,13,489.00,"6,357.00"
405,2025090804016066,NHDL,50,8,650,665.10,"432,315.00"
406,2025090803008547,FOWAD,42,1,120,"1,090.00","130,800.00"
407,2025090801016868,KBL,17,58,"1,200",195.00,"234,000.00"
408,2025090801016867,TTL,41,64,30,767.00,"23,010.00"
409,2025090805017819,USHEC,3,4,180,473.80,"85,284.00"
410,2025090805017818,USHEC,3,6,10,473.00,"4,730.00"
411,2025090805017817,USHEC,3,58,10,472.20,"4,722.00"
412,2025090805017816,USHEC,3,57,10,472.20,"4,722.00"
413,2025090804016065,RIDI,50,22,10,227.00,"2,270.00"
414,2025090804016064,UPCL,49,72,35,413.00,"14,455.00"
415,2025090804016063,UPCL,70,72,500,413.10,"206,550.00"
416,2025090804016062,UPCL,26,72,365,413.20,"150,818.00"
417,2025090801016866,LSL,34,22,353,230.40,"81,331.20"
418,2025090804016061,UNHPL,33,62,"1,900",462.00,"877,800.00"
419,2025090804016060,UNHPL,45,62,100,462.10,"46,210.00"
420,2025090805017815,MBJC,42,62,30,301.20,"9,036.00"
421,2025090805017814,MBJC,1,62,10,301.20,"3,012.00"
422,2025090804016059,UAIL,16,45,200,512.10,"102,420.00"
423,2025090803008546,BFC,6,45,25,464.10,"11,602.50"
424,2025090801016865,CREST,57,35,10,"1,118.00","11,180.00"
425,2025090801016864,CREST,57,59,10,"1,115.60","11,156.00"
426,2025090801016863,CREST,57,34,10,"1,115.00","11,150.00"
427,2025090804016058,UNHPL,45,95,400,462.10,"184,840.00"
428,2025090804016057,BPCL,54,3,100,798.50,"79,850.00"
429,2025090805017813,HIDCL,92,39,"4,776",270.10,"1,289,997.60"
430,2025090805017812,HIDCL,16,39,200,270.30,"54,060.00"
431,2025090805017811,HIDCL,8,39,24,270.30,"6,487.20"
432,2025090801016862,NICA,42,64,50,339.60,"16,980.00"
